,latitude,longitude,year,week_no,SulphurDioxide_SO2_column_number_density,SulphurDioxide_SO2_column_number_density_amf,SulphurDioxide_SO2_slant_column_number_density,SulphurDioxide_cloud_fraction,SulphurDioxide_sensor_azimuth_angle,SulphurDioxide_sensor_zenith_angle,SulphurDioxide_solar_azimuth_angle,SulphurDioxide_solar_zenith_angle,SulphurDioxide_SO2_column_number_density_15km,CarbonMonoxide_CO_column_number_density,CarbonMonoxide_H2O_column_number_density,CarbonMonoxide_cloud_height,CarbonMonoxide_sensor_altitude,CarbonMonoxide_sensor_azimuth_angle,CarbonMonoxide_sensor_zenith_angle,CarbonMonoxide_solar_azimuth_angle,CarbonMonoxide_solar_zenith_angle,NitrogenDioxide_NO2_column_number_density,NitrogenDioxide_tropospheric_NO2_column_number_density,NitrogenDioxide_stratospheric_NO2_column_number_density,NitrogenDioxide_NO2_slant_column_number_density,NitrogenDioxide_tropopause_pressure,NitrogenDioxide_absorbing_aerosol_index,NitrogenDioxide_cloud_fraction,NitrogenDioxide_sensor_altitude,NitrogenDioxide_sensor_azimuth_angle,NitrogenDioxide_sensor_zenith_angle,NitrogenDioxide_solar_azimuth_angle,NitrogenDioxide_solar_zenith_angle,Formaldehyde_tropospheric_HCHO_column_number_density,Formaldehyde_tropospheric_HCHO_column_number_density_amf,Formaldehyde_HCHO_slant_column_number_density,Formaldehyde_cloud_fraction,Formaldehyde_solar_zenith_angle,Formaldehyde_solar_azimuth_angle,Formaldehyde_sensor_zenith_angle,Formaldehyde_sensor_azimuth_angle,UvAerosolIndex_absorbing_aerosol_index,UvAerosolIndex_sensor_altitude,UvAerosolIndex_sensor_azimuth_angle,UvAerosolIndex_sensor_zenith_angle,UvAerosolIndex_solar_azimuth_angle,UvAerosolIndex_solar_zenith_angle,Ozone_O3_column_number_density,Ozone_O3_column_number_density_amf,Ozone_O3_slant_column_number_density,Ozone_O3_effective_temperature,Ozone_cloud_fraction,Ozone_sensor_azimuth_angle,Ozone_sensor_zenith_angle,Ozone_solar_azimuth_angle,Ozone_solar_zenith_angle,UvAerosolLayerHeight_aerosol_height,UvAerosolLayerHeight_aerosol_pressure,UvAerosolLayerHeight_aerosol_optical_depth,UvAerosolLayerHeight_sensor_zenith_angle,UvAerosolLayerHeight_sensor_azimuth_angle,UvAerosolLayerHeight_solar_azimuth_angle,UvAerosolLayerHeight_solar_zenith_angle,Cloud_cloud_fraction,Cloud_cloud_top_pressure,Cloud_cloud_top_height,Cloud_cloud_base_pressure,Cloud_cloud_base_height,Cloud_cloud_optical_depth,Cloud_surface_albedo,Cloud_sensor_azimuth_angle,Cloud_sensor_zenith_angle,Cloud_solar_azimuth_angle,Cloud_solar_zenith_angle,emission
latitude,1.0,0.2395107018067737,-7.655198753047854e-12,9.627213266520678e-16,0.0035065022213816143,0.045013135634461764,0.007386493718869907,-0.008391550449369884,-0.004875923238853793,-0.013898452738287045,-0.03158989817803133,-0.020286150263091968,0.007329935321289124,0.03736537050852421,0.1068242118564155,0.10181167671105641,-0.593062155309054,-0.030359286967470006,-0.02730455601242061,-0.022853023581745763,-0.007747946087838987,-0.0014898864278353873,-0.017691394434178734,0.03449274200090626,-0.0059684109527156325,0.00010951696020055679,0.03938024505932955,0.0007028238646047834,-0.5009952590134388,-0.001446118610613782,-0.025548555681968364,-0.03640824968757461,-0.030521062530613454,0.03159029802095674,-0.00450769104934319,0.029936537342524296,-0.007200324422442118,-0.02161862010675836,-0.030813630216143067,-0.016746706618568263,-0.003371276063556487,0.033453736881721076,-0.7822518662336165,-0.007539202303105846,-0.010265183472407988,-0.028843705916895654,-0.022596870516373043,-0.015242376907639929,-0.03143642948561022,-0.03861981069004701,-0.028988768645731283,0.0498177090577693,-0.00774488137890751,-0.012806585491102475,-0.028651539839797954,-0.02250183537234251,-0.016292921064622778,0.018560307302471105,-0.013796428402257557,0.0286528772008134,0.010193133541036278,0.24392808726596998,0.017342407738681613,0.048123115663929426,-0.14562488472369578,0.14850520038823356,-0.14880730485432375,0.1495284579013359,0.04919678662168851,0.16552148375921485,-0.010403972159500991,-0.021239350045876463,-0.028738173186578245,-0.020449446263332224,0.017850558434491622
longitude,0.2395107018067737,1.0,-2.4267834171377822e-12,1.3518999477549007e-16,-0.12966033904688481,0.08679730833946492,-0.1312382101458476,0.028866468488363287,-0.012620977920382302,0.013744874695217887,-0.030365461066266898,0.0028174289456124302,-0.1341871703078716,-0.0632127722025609,0.08461056297749339,-0.0004271923786001468,-0.08482429381991737,-0.05600755448191494,-8.743910395551427e-05,-0.00030372707838476727,0.03431034176408699,0.048544637293972306,0.046393144628570956,0.013464438471738687,0.014134470036709985,-0.03373985683343391,0.15203999131960885,0.00606172074909209,-0.09471706947364285,-0.01241889712055744,0.01591600399244414,-0.03696642839787783,0.001417919054888494,-0.020876140837752428,0.03144087456769666,-0.01455542271415964,0.0042578935721911985,0.012869316293216507,-0.01943246572390449,-0.0004445394323763464,-0.024962032854501298,0.0017887722755721496,-0.1619722579720776,0.019806381694970544,-0.031181084212153935,-0.004735863842199904,-0.005243499630201021,-0.013538633335743533,-0.05626995169037554,-0.05919309271886729,-0.022428544429553762,-0.08466265794573376,0.01726825620901155,-0.030294225872330435,-0.004089128407438484,-0.005292620492794742,-0.013953170391072764,0.006115748127985973,0.10737682827475503,-0.10407187471305868,-0.08730507883233549,-0.0595405173592093,0.19505810979234756,-0.10005990337545709,-0.047864123974508135,0.06231155651291603,-0.04428513545372588,0.059501196883396605,-0.0725397756568522,-0.043337039972228805,-0.01670146542146092,-0.03498282761033426,-0.005246877799911647,0.008237817648831787,0.1027464904365297
year,-7.655198753047854e-12,-2.4267834171377822e-12,1.0,4.20533172511553e-15,0.005307610938820145,-0.1279622420741973,0.0033944666312249404,-0.02267697438084227,0.05836336799608333,-0.01771825725778141,0.04135345808622196,-0.064881989899199,0.0007461920322820472,0.0762652555971634,-0.12656172496929982,-0.056521164039935456,0.012845715248097661,-0.00413855623683248,0.0315169299919744,0.01149821760276259,-0.0014138920357315435,0.24359077221363704,0.07340909938736478,0.4400631981399108,0.24988517284123568,0.24748646666974541,0.11710913613691326,-0.009811100169066122,0.015216469727680634,-0.007128593701897864,0.043323769338330584,0.027713031364390163,0.011867540996208212,0.06252667801576642,0.008668563567091723,0.08623324988417565,0.12998134307294015,-0.05195140778190714,0.026193630931552133,-0.004034876715392323,0.059753356400335696,0.01408663463383823,0.055063204424341726,-0.04374127363483139,0.009032720833563882,0.0030539493418678333,0.017001994941991967,-0.08594486584634642,0.0527945803409573,0.0003312378179617668,0.24202727772781069,0.21595624482018067,-0.036534283091020386,0.014855254303067979,0.0027077673694741408,0.011076714880570453,,,,,,,,0.2747261186048653,0.0069333569250357085,0.08037106859416317,0.0361653133469515,0.05647229010453404,-0.1180037408928693,-0.09392575905235001,0.002229069246727093,0.02096992807084235,0.003942885716101237,0.0008929194424667656,-0.013243712687771993
week_no,9.627213266520678e-16,1.3518999477549007e-16,4.20533172511553e-15,1.0,0.003520292928593058,0.0643267593847607,0.011542685436446294,-0.00167817613392426,0.028060973788365678,-0.09179272279991256,-0.06135146273213305,0.27271354834047923,0.006531064479153551,-0.06599486049770582,-0.0882308850616205,-0.025904765463221475,0.07579414428130869,0.004101756154610891,-0.03956190049827002,-0.08966176951221007,0.3407162505466777,0.2790687739772271,0.10295463103846599,0.4656212077280364,0.3096710117107702,0.347501356854547,0.09646556782702205,0.01386055646372548,0.09939587325946608,-0.03257629043838762,-0.06829321882853366,-0.09642469358553586,0.3298370617250901,-0.03568729680573438,0.0781955873403614,-0.002676450950507166,0.08619056492756783,0.28668855066931515,-0.07839877309118855,-0.0638036981992026,0.014707628255943139,0.0946131419896037,0.06230844726526348,0.03858186859110191,0.01153622193740225,-0.08539799362685974,0.37818898730708894,0.039459289473456255,0.11140466141823725,0.12134900937925949,0.2223017773931807,0.12080775925467677,0.037509160127473365,0.0225988681892369,-0.08620710156197853,0.3792818332200428,-0.05298544739034068,0.04951146331737151,0.36752823779166416,-0.2646051019296854,0.03623974499848661,-0.983163548485809,0.15301782258977148,0.1446474164544617,0.016238131530022744,0.07848510163355647,0.02616226720446227,0.06735086150279258,0.06816014754229593,-0.04585141062368449,-0.007341749736520801,0.06281242866418116,-0.07615556813717016,0.3948028978953834,0.00708597027721469
SulphurDioxide_SO2_column_number_density,0.0035065022213816143,-0.12966033904688481,0.005307610938820145,0.003520292928593058,1.0,-0.06873156018803683,0.9670775166435743,-0.015100654010487853,0.01598945944592024,0.008546072788533273,0.038091350211615804,0.03651183057262706,0.9282529305321425,0.056555592390222745,0.000277327014266816,0.0018324006561954414,-0.007986791791533448,0.012056175519285998,-0.002652859199196929,0.03753562983496708,0.047450111322407534,-0.01685196435389642,-0.013486690199900234,-0.009664857808692081,0.001501041908417719,-0.004742056426024569,-0.08167296152767203,-0.008693891305320061,-0.01783880758742656,0.022344416350862716,-0.002280204745270804,0.03640500796936235,0.027866634224567564,0.015460202430591296,-0.03874080736906293,0.007763173762578224,-0.008989713114437366,0.04222725712992078,0.03774883507325262,0.009965696862193774,0.01109893231098221,-0.04764794974662329,-0.004937493114043569,0.001084188119382849,0.0155671013032724,0.039231423725112076,0.05712720021466336,-0.022331395968514696,0.03812070862981016,0.024191086657231003,0.02911890680742003,0.0012536909994538318,0.006768079948032392,0.013982737469674732,0.03918730882642022,0.05539722501094199,-0.02394316328387433,0.03505999029531573,-0.00985260660855305,0.04396165236382124,-0.015515598310639435,-0.11079175312860234,-0.0438508060087066,0.0020002187614952005,0.0129461145941502,0.0009253646349741817,0.010201132988252565,0.0022361461449997913,-0.007386542716499209,-0.008933212826791844,0.01829772886675198,0.023466888633222008,0.04024026969247517,0.05053027687402595,-0.01912599782025314
SulphurDioxide_SO2_column_number_density_amf,0.045013135634461764,0.08679730833946492,-0.1279622420741973,0.0643267593847607,-0.06873156018803683,1.0,-0.03904585036116953,0.25271760364146967,-0.11042734500189748,-0.07748727228503369,-0.15250039690629819,0.0839098008454754,-0.03761830647426333,-0.33139510109779696,0.03475715818533474,0.02441850238976574,0.02102340004465387,-0.08427684254323227,-0.0048752500590383135,-0.15019774893761217,0.0592227350480901,-0.2509950589868212,-0.23836542286189588,-0.10923774662472786,-0.17858583559027014,-0.15199980844103878,-0.11456013371959649,0.19396621351644583,0.07275236520386566,-0.12259826508458795,-0.05712338777505369,-0.17745858184593374,0.08154211197751851,-0.2878209791059356,0.7259056985813963,-0.11485883476412714,0.16211136154258987,0.07486491141012494,-0.1515028626232597,-0.041483609172613,-0.1003355559094993,-0.07422820789334542,-0.012651948639548962,-0.07136991880561898,0.016335991879926525,-0.14818387705146288,0.045497474579249075,-0.14456878922071179,0.03063458308528675,-0.04448377650457126,-0.07365119831900024,0.11087776518278807,-0.07829869225169979,0.018515450350766283,-0.1484512456037284,0.0486211038853631,0.032961446731496244,-0.04100383383993737,0.08990671145543402,-0.05992690318675004,0.16686079469627832,-0.6305021751678362,-0.1879219233759941,0.0574125868661464,0.07116078677482772,-0.05403423626347474,0.06546258244533988,-0.04943718220716717,0.1331653274431474,0.298978119087495,-0.051253552784444864,-0.024776929440487688,-0.14716587228928218,0.040611394435152125,0.0003466422805732013
SulphurDioxide_SO2_slant_column_number_density,0.007386493718869907,-0.1312382101458476,0.0033944666312249404,0.011542685436446294,0.9670775166435743,-0.03904585036116953,1.0,-0.01328999619780232,0.018251139286050832,0.005420873107863064,0.03335748730704455,0.042636201322382584,0.9569791517331717,0.04205785192159104,-0.003889731722527641,-0.002950269446481575,-0.009017711714856876,0.011880715555690343,-0.0006287880598398512,0.033291974808092796,0.05598237107890998,-0.022142540174836026,-0.019828698981426814,-0.009072384601869982,-0.0021722113473154627,-0.007583061042240807,-0.08804239978093857,-0.006495267937375903,-0.019009008524395847,0.02446384905903766,-0.004426003333322059,0.03318444407895641,0.03492313894410903,0.007282646007002582,-0.01650643208988526,0.006556765457695711,-0.006601457027987731,0.048665138695781616,0.033146155672685126,0.00757907711183697,0.014358433831603705,-0.04729676128042633,-0.00590749944697297,0.00029544012353214535,0.013901076378273505,0.03471497062404245,0.0665953289559655,-0.032407969761506006,0.04089306687135032,0.02157259588980215,0.030152612722522936,0.004296538868706592,0.005240599562413493,0.013241768672286727,0.03465533487505858,0.06498013176715234,-0.02315423749297396,0.035257538812474246,-0.0038385120188047,0.03609621853616061,-0.03200954907875543,-0.11151537453733812,-0.044830630995130884,0.005177017972189559,0.022602037495687365,-0.007471805321988568,0.019361695050638016,-0.00585150080344678,-0.0015997769947257276,0.009001491512754181,0.01630462059242198,0.022929816668402953,0.03570676645588497,0.0597615418506595,-0.021958519759256986
SulphurDioxide_cloud_fraction,-0.008391550449369884,0.028866468488363287,-0.02267697438084227,-0.00167817613392426,-0.015100654010487853,0.25271760364146967,-0.01328999619780232,1.0,-0.10401321152557373,0.221142700884387,0.02057442843126769,0.06456089751702522,-0.021545068399433133,-0.012316570574016878,0.04947328015516502,0.23238229381606804,-0.012025321055352587,-0.04912570482850509,0.17045548950866643,0.02359907282514984,0.01477337277903517,-0.041257994568678825,-0.04448210251320325,-0.0068631983868028094,0.07761273648663648,0.03299105323718305,0.05805531696523155,0.5328556347583893,0.09780732059599136,-0.16428811394063247,0.1796989890319726,0.02387438496168224,0.11847002201918452,-0.08164487346801805,0.24858304006298473,-0.024214300422008728,0.6946745529187398,0.04044193186949664,0.02264954500989574,0.20811216207265726,-0.07954701245125799,0.029258653945563016,-0.008566627150490039,-0.03196641527448159,0.1353787947826853,0.020145890269851943,-0.0022839578816285233,0.016247426439076555,0.14057335483388336,0.1354653460668655,-0.05974920862689064,0.2763822675862527,-0.03548521180979872,0.13494344856899937,0.02015240247041258,-0.0009800223926780306,0.05554072269365952,-0.06294065880317361,-0.036667407676103166,0.023314499181675018,0.07570908120657463,0.10846913115841986,0.020826159582187358,0.09733922185994992,-0.01618394069481153,0.0015781305343055445,-0.00016097696786726356,-0.010371707844333965,-0.028824968095703875,0.054561282486510335,0.03346565380243801,-0.031204818155129845,0.02072382533112907,-0.02839999661427152,0.006195413231667623
SulphurDioxide_sensor_azimuth_angle,-0.004875923238853793,-0.012620977920382302,0.05836336799608333,0.028060973788365678,0.01598945944592024,-0.11042734500189748,0.018251139286050832,-0.10401321152557373,1.0,0.05099793802167301,0.007987603867907584,-0.5742927856608344,0.013050962505411785,0.033441262120454854,-0.09670259323402036,-0.026817637085311714,-0.3040079640666867,0.5409263886690515,0.0174075090860343,0.0010851221590189692,-0.22150421953483368,0.002564027886209615,0.0007237659698948599,-0.0009817227752582172,-0.0015755379547493131,0.0007664491059314008,-0.26750339239819027,-0.048659731029162455,-0.56509762602451,0.8447454444991056,0.02368547308371684,0.014872529680309403,-0.4761251581691422,0.06445606074250917,-0.08006468959179645,0.042473158837701676,-0.05524862052238778,-0.4147265916839035,0.004420014351877525,0.04627307390588124,0.7943488763299236,-0.003285447140848626,-0.145408387693063,0.3795476332154829,0.027476548780483955,0.005357075561091873,-0.07798111531116847,-0.020182248884989616,0.005892662334975906,0.0007660848365338547,0.01625210054111966,0.02533654830832485,0.38256057458355847,0.02741470597750545,0.004950391187387663,-0.08027467938872059,0.23689159291904782,-0.2397531206341003,-0.19793033031957274,0.1610344411509105,0.5997102610029217,-0.14766015300113883,-0.09398699708952353,0.009995283819136128,0.01405958416395319,-0.013413189572647059,0.02370108425450993,-0.019349281690453482,0.017201207580151433,-0.11881861777397977,0.2093264674186913,0.017947734140067992,0.0044107460911268015,-0.05015055333240326,-0.025079443689625662
SulphurDioxide_sensor_zenith_angle,-0.013898452738287045,0.013744874695217887,-0.01771825725778141,-0.09179272279991256,0.008546072788533273,-0.07748727228503369,0.005420873107863064,0.221142700884387,0.05099793802167301,1.0,0.03247692884398752,-0.04025625269287946,-0.013142508277859566,-0.013806370373644761,-0.0488866884930652,0.06717906404581861,-0.08904521279816444,0.02610108907392128,0.5290259434294863,0.030623271092121304,-0.01719305153851964,0.007726128226803679,0.0070005157418903015,-0.005080563925426387,0.4309428149126406,-0.07412164026234302,0.2182707612478346,0.1525100909336552,-0.14831434273742092,0.02618722052381689,0.8334834598108857,0.0346055553360175,-0.0035551971662859923,-0.012606398175104165,0.031199871386481986,-0.0032462278801521677,0.10738831978774463,-0.03519935353325697,0.031130253326761694,0.7833156916357321,0.04168100103767594,0.13373409515404097,-0.03445731304054563,0.035351200799906744,0.3711613560308403,0.028368777536619608,-0.030222499938452805,-0.008834855897882585,0.29990719627175433,0.26904990820113067,-0.004904642347451809,0.044895068982445954,0.036649908099020564,0.3694389850142515,0.02845909911077536,-0.031434023079717134,0.22919006638422354,-0.22191436181282345,-0.49632413190959435,0.5182068723223868,0.19619227111848983,0.3088103982846789,-0.16589131583714298,-0.017057506988076582,-0.012910214238630776,-0.01202619443392301,-0.011949398444685537,-0.012921128468947359,-0.06814142332053282,-0.021071063817213662,0.04617505467615077,0.15774704356809027,0.02641813487539247,-0.04313205376642528,-0.005703676886720775
